Record,NoiseType,SNR_Level,SNRI,RMSE,PSNR
118,em,1.25,4.289658,0.21014188,23.168406
201,em,1.25,6.38421,0.06891935,27.993309
231,em,1.25,6.917803,0.093858324,28.647882
233,ma,0.0,10.263884,0.15933551,28.40481
217,bw,0.0,8.344553,0.22205384,24.905413
208,bw,1.25,11.571442,0.09334634,30.141266
112,bw,0.0,5.9250674,0.09253488,23.373533
207,ma,5.0,0.32470518,0.15823226,21.426453
202,ma,1.25,10.362388,0.06663542,29.124666
219,em,1.25,11.901398,0.09678902,30.701866
208,em,5.0,6.2271705,0.11189159,28.549623
112,em,5.0,0.6902558,0.09501949,23.143461
223,ma,5.0,12.419115,0.052931573,34.560513
122,bw,0.0,20.233177,0.03494185,35.63189
101,ma,0.0,11.419638,0.061136823,30.517115
214,em,0.0,8.860188,0.16140392,27.50463
234,ma,0.0,13.320768,0.062378425,30.19507
200,ma,0.0,9.081665,0.12312886,28.752005
200,em,1.25,6.8082223,0.13849068,27.715181
220,ma,1.25,10.8360815,0.07933607,32.995735
201,ma,1.25,7.800054,0.05898965,29.404318
217,ma,5.0,3.425861,0.21979971,24.993927
114,ma,1.25,1.5759299,0.08318978,22.623323
100,bw,5.0,4.8409243,0.059466388,29.338163
221,bw,5.0,7.934638,0.06334846,30.787727
208,bw,5.0,7.8937864,0.09252492,30.21361
118,ma,1.25,5.8017645,0.17621009,24.68271
119,ma,0.0,11.941025,0.1330053,30.355566
214,ma,5.0,6.0495906,0.12547918,29.693186
109,bw,1.25,11.421121,0.10375575,28.193325
222,em,0.0,3.7259324,0.0842254,23.806562
209,bw,0.0,12.07012,0.059004854,31.452055
208,ma,1.25,10.5383,0.10550482,29.11571
109,em,5.0,5.81869,0.12838058,26.339973
105,ma,0.0,14.067154,0.06895799,30.906548
230,ma,5.0,10.042065,0.05971456,35.352707
210,em,0.0,10.99129,0.068742305,28.290209
122,em,1.25,13.926768,0.06230946,30.56844
200,bw,0.0,10.118485,0.108524196,29.77829
234,em,1.25,12.489875,0.05939841,30.6029
222,ma,1.25,3.1963382,0.07783982,24.525198
202,bw,0.0,12.286807,0.061821558,29.794308
112,em,1.25,4.095757,0.09890463,22.798964
