Time(s),True_Raw_500Hz,Denoised_Resampled_500Hz
18.3680,-468.000000,0.428364
18.3700,-486.000000,0.427666
18.3720,-504.000000,0.426958
18.3740,-522.000000,0.424467
18.3760,-539.000000,0.422623
18.3780,-541.000000,0.422759
18.3800,-562.000000,0.419374
18.3820,-619.000000,0.413862
18.3840,-627.000000,0.410862
18.3860,-636.000000,0.407802
18.3880,-665.000000,0.403330
18.3900,-692.000000,0.398245
18.3920,-707.000000,0.392923
18.3940,-727.000000,0.389285
18.3960,-750.000000,0.386337
18.3980,-782.000000,0.382694
18.4000,-802.000000,0.379394
18.4020,-830.000000,0.376477
18.4040,-845.000000,0.375246
18.4060,-887.000000,0.374929
18.4080,-916.000000,0.372501
18.4100,-937.000000,0.370140
18.4120,-969.000000,0.369014
18.4140,-991.000000,0.368130
18.4160,-1033.000000,0.368379
18.4180,-1062.000000,0.365868
18.4200,-1084.000000,0.359970
18.4220,-1106.000000,0.356523
18.4240,-1127.000000,0.353653
18.4260,-1157.000000,0.349697
18.4280,-1197.000000,0.347136
18.4300,-1202.000000,0.341929
18.4320,-1246.000000,0.334047
18.4340,-1289.000000,0.328509
18.4360,-1318.000000,0.325020
18.4380,-1346.000000,0.323919
18.4400,-1364.000000,0.321960
18.4420,-1376.000000,0.313309
18.4440,-1424.000000,0.304723
18.4460,-1448.000000,0.304091
18.4480,-1466.000000,0.307467
18.4500,-1492.000000,0.307643
18.4520,-1546.000000,0.301391
18.4540,-1576.000000,0.294208
18.4560,-1589.000000,0.292194
18.4580,-1631.000000,0.292243
18.4600,-1663.000000,0.291531
18.4620,-1675.000000,0.288102
18.4640,-1712.000000,0.280376
18.4660,-1742.000000,0.274932
18.4680,-1765.000000,0.273530
18.4700,-1802.000000,0.270253
18.4720,-1829.000000,0.265342
18.4740,-1877.000000,0.258800
18.4760,-1899.000000,0.250648
18.4780,-1914.000000,0.246176
18.4800,-1948.000000,0.244680
18.4820,-1977.000000,0.241736
18.4840,-1992.000000,0.235145
18.4860,-2021.000000,0.224396
18.4880,-2057.000000,0.215833
18.4900,-2107.000000,0.212026
18.4920,-2126.000000,0.207048
18.4940,-2156.000000,0.199656
18.4960,-2192.000000,0.189578
18.4980,-2224.000000,0.179415
18.5000,-2253.000000,0.176956
18.5020,-2282.000000,0.177000
18.5040,-2311.000000,0.171495
18.5060,-2350.000000,0.164510
18.5080,-2364.000000,0.158117
18.5100,-2393.000000,0.155362
18.5120,-2476.000000,0.159885
18.5140,-2506.000000,0.163299
18.5160,-2679.000000,0.159986
18.5180,-2719.000000,0.152085
18.5200,-2752.000000,0.141622
18.5220,-2769.000000,0.135565
18.5240,-2817.000000,0.134883
18.5260,-2847.000000,0.131309
18.5280,-2868.000000,0.121389
18.5300,-2905.000000,0.104702
18.5320,-2926.000000,0.089276
18.5340,-2953.000000,0.087231
18.5360,-2988.000000,0.091251
18.5380,-3013.000000,0.089007
18.5400,-3061.000000,0.080748
18.5420,-3087.000000,0.069579
18.5440,-3118.000000,0.064623
18.5460,-3140.000000,0.071199
18.5480,-3166.000000,0.076788
